Tiempo		Potencial	Corriente
0,0		0,171		0,2056
0,5		0,241		0,1894
1,0		0,280		0,1800
1,5		0,304		0,1730
2,0		0,329		0,1669
2,5		0,356		0,1612
3,0		0,381		0,1554
3,5		0,402		0,1499
4,0		0,426		0,1459
4,5		0,441		0,1438
5,0		0,456		0,1411
5,5		0,469		0,1374
6,0		0,472		0,1332
6,5		0,499		0,1313
7,0		0,520		0,1277
7,5		0,539		0,1253
8,0		0,557		0,1213
8,5		0,569		0,1186
9,0		0,587		0,1152
9,5		0,596		0,1143
10,0		0,593		0,1106
10,5		0,624		0,1079
11,0		0,645		0,1033
11,5		0,657		0,1027
12,0		0,673		0,1000
12,5		0,691		0,0982
13,0		0,703		0,0957
13,5		0,706		0,0948
14,0		0,715		0,0939
14,5		0,730		0,0918
15,0		0,733		0,0903
15,5		0,748		0,0875
16,0		0,755		0,0872
16,5		0,770		0,0860
17,0		0,776		0,0824
17,5		0,794		0,0808
18,0		0,803		0,0793
